graph_index_0based,simulation_id,n_cells,package_id,sigma_index,t1_edge_1,t1_edge_2,shear_factor,kA,nx
0,graph_784_10_0_1_-1_1.txt,784,10,0,1,-1,1,100,28
1,graph_784_10_10_1_-1_1.txt,784,10,10,1,-1,1,100,28
2,graph_784_10_11_1_-1_1.txt,784,10,11,1,-1,1,100,28
3,graph_784_10_12_1_-1_1.txt,784,10,12,1,-1,1,100,28
4,graph_784_10_13_1_-1_1.txt,784,10,13,1,-1,1,100,28
5,graph_784_10_14_1_-1_1.txt,784,10,14,1,-1,1,100,28
6,graph_784_10_15_1_-1_1.txt,784,10,15,1,-1,1,100,28
7,graph_784_10_16_1_-1_1.txt,784,10,16,1,-1,1,100,28
8,graph_784_10_17_1_-1_1.txt,784,10,17,1,-1,1,100,28
9,graph_784_10_18_1_-1_1.txt,784,10,18,1,-1,1,100,28
10,graph_784_10_19_1_-1_1.txt,784,10,19,1,-1,1,100,28
11,graph_784_10_1_1_-1_1.txt,784,10,1,1,-1,1,100,28
12,graph_784_10_20_1_-1_1.txt,784,10,20,1,-1,1,100,28
13,graph_784_10_21_1_-1_1.txt,784,10,21,1,-1,1,100,28
14,graph_784_10_22_1_-1_1.txt,784,10,22,1,-1,1,100,28
15,graph_784_10_23_1_-1_1.txt,784,10,23,1,-1,1,100,28
16,graph_784_10_24_1_-1_1.txt,784,10,24,1,-1,1,100,28
17,graph_784_10_25_1_-1_1.txt,784,10,25,1,-1,1,100,28
18,graph_784_10_26_1_-1_1.txt,784,10,26,1,-1,1,100,28
19,graph_784_10_27_1_-1_1.txt,784,10,27,1,-1,1,100,28
20,graph_784_10_28_1_-1_1.txt,784,10,28,1,-1,1,100,28
21,graph_784_10_29_1_-1_1.txt,784,10,29,1,-1,1,100,28
22,graph_784_10_2_1_-1_1.txt,784,10,2,1,-1,1,100,28
23,graph_784_10_30_1_-1_1.txt,784,10,30,1,-1,1,100,28
24,graph_784_10_31_1_-1_1.txt,784,10,31,1,-1,1,100,28
25,graph_784_10_32_1_-1_1.txt,784,10,32,1,-1,1,100,28
26,graph_784_10_33_1_-1_1.txt,784,10,33,1,-1,1,100,28
27,graph_784_10_34_1_-1_1.txt,784,10,34,1,-1,1,100,28
28,graph_784_10_35_1_-1_1.txt,784,10,35,1,-1,1,100,28
29,graph_784_10_36_1_-1_1.txt,784,10,36,1,-1,1,100,28
30,graph_784_10_37_1_-1_1.txt,784,10,37,1,-1,1,100,28
31,graph_784_10_38_1_-1_1.txt,784,10,38,1,-1,1,100,28
32,graph_784_10_39_1_-1_1.txt,784,10,39,1,-1,1,100,28
33,graph_784_10_3_1_-1_1.txt,784,10,3,1,-1,1,100,28
34,graph_784_10_40_1_-1_1.txt,784,10,40,1,-1,1,100,28
35,graph_784_10_41_1_-1_1.txt,784,10,41,1,-1,1,100,28
36,graph_784_10_42_1_-1_1.txt,784,10,42,1,-1,1,100,28
37,graph_784_10_43_1_-1_1.txt,784,10,43,1,-1,1,100,28
38,graph_784_10_44_1_-1_1.txt,784,10,44,1,-1,1,100,28
39,graph_784_10_45_1_-1_1.txt,784,10,45,1,-1,1,100,28
40,graph_784_10_46_1_-1_1.txt,784,10,46,1,-1,1,100,28
41,graph_784_10_47_1_-1_1.txt,784,10,47,1,-1,1,100,28
42,graph_784_10_48_1_-1_1.txt,784,10,48,1,-1,1,100,28
43,graph_784_10_49_1_-1_1.txt,784,10,49,1,-1,1,100,28
44,graph_784_10_4_1_-1_1.txt,784,10,4,1,-1,1,100,28
45,graph_784_10_50_1_-1_1.txt,784,10,50,1,-1,1,100,28
46,graph_784_10_5_1_-1_1.txt,784,10,5,1,-1,1,100,28
47,graph_784_10_6_1_-1_1.txt,784,10,6,1,-1,1,100,28
48,graph_784_10_7_1_-1_1.txt,784,10,7,1,-1,1,100,28
49,graph_784_10_8_1_-1_1.txt,784,10,8,1,-1,1,100,28
50,graph_784_10_9_1_-1_1.txt,784,10,9,1,-1,1,100,28
51,graph_784_11_0_1_-1_1.txt,784,11,0,1,-1,1,100,28
52,graph_784_11_10_1_-1_1.txt,784,11,10,1,-1,1,100,28
53,graph_784_11_11_1_-1_1.txt,784,11,11,1,-1,1,100,28
54,graph_784_11_12_1_-1_1.txt,784,11,12,1,-1,1,100,28
55,graph_784_11_13_1_-1_1.txt,784,11,13,1,-1,1,100,28
56,graph_784_11_14_1_-1_1.txt,784,11,14,1,-1,1,100,28
57,graph_784_11_15_1_-1_1.txt,784,11,15,1,-1,1,100,28
58,graph_784_11_16_1_-1_1.txt,784,11,16,1,-1,1,100,28
59,graph_784_11_17_1_-1_1.txt,784,11,17,1,-1,1,100,28
60,graph_784_11_18_1_-1_1.txt,784,11,18,1,-1,1,100,28
61,graph_784_11_19_1_-1_1.txt,784,11,19,1,-1,1,100,28
62,graph_784_11_1_1_-1_1.txt,784,11,1,1,-1,1,100,28
63,graph_784_11_20_1_-1_1.txt,784,11,20,1,-1,1,100,28
64,graph_784_11_21_1_-1_1.txt,784,11,21,1,-1,1,100,28
65,graph_784_11_22_1_-1_1.txt,784,11,22,1,-1,1,100,28
66,graph_784_11_23_1_-1_1.txt,784,11,23,1,-1,1,100,28
67,graph_784_11_24_1_-1_1.txt,784,11,24,1,-1,1,100,28
68,graph_784_11_25_1_-1_1.txt,784,11,25,1,-1,1,100,28
69,graph_784_11_26_1_-1_1.txt,784,11,26,1,-1,1,100,28
70,graph_784_11_27_1_-1_1.txt,784,11,27,1,-1,1,100,28
71,graph_784_11_28_1_-1_1.txt,784,11,28,1,-1,1,100,28
72,graph_784_11_29_1_-1_1.txt,784,11,29,1,-1,1,100,28
73,graph_784_11_2_1_-1_1.txt,784,11,2,1,-1,1,100,28
74,graph_784_11_30_1_-1_1.txt,784,11,30,1,-1,1,100,28
75,graph_784_11_31_1_-1_1.txt,784,11,31,1,-1,1,100,28
76,graph_784_11_32_1_-1_1.txt,784,11,32,1,-1,1,100,28
77,graph_784_11_33_1_-1_1.txt,784,11,33,1,-1,1,100,28
78,graph_784_11_34_1_-1_1.txt,784,11,34,1,-1,1,100,28
79,graph_784_11_35_1_-1_1.txt,784,11,35,1,-1,1,100,28
80,graph_784_11_36_1_-1_1.txt,784,11,36,1,-1,1,100,28
81,graph_784_11_37_1_-1_1.txt,784,11,37,1,-1,1,100,28
82,graph_784_11_38_1_-1_1.txt,784,11,38,1,-1,1,100,28
83,graph_784_11_39_1_-1_1.txt,784,11,39,1,-1,1,100,28
84,graph_784_11_3_1_-1_1.txt,784,11,3,1,-1,1,100,28
85,graph_784_11_40_1_-1_1.txt,784,11,40,1,-1,1,100,28
86,graph_784_11_41_1_-1_1.txt,784,11,41,1,-1,1,100,28
87,graph_784_11_42_1_-1_1.txt,784,11,42,1,-1,1,100,28
88,graph_784_11_43_1_-1_1.txt,784,11,43,1,-1,1,100,28
89,graph_784_11_44_1_-1_1.txt,784,11,44,1,-1,1,100,28
90,graph_784_11_45_1_-1_1.txt,784,11,45,1,-1,1,100,28
91,graph_784_11_46_1_-1_1.txt,784,11,46,1,-1,1,100,28
92,graph_784_11_47_1_-1_1.txt,784,11,47,1,-1,1,100,28
93,graph_784_11_48_1_-1_1.txt,784,11,48,1,-1,1,100,28
94,graph_784_11_49_1_-1_1.txt,784,11,49,1,-1,1,100,28
95,graph_784_11_4_1_-1_1.txt,784,11,4,1,-1,1,100,28
96,graph_784_11_50_1_-1_1.txt,784,11,50,1,-1,1,100,28
97,graph_784_11_5_1_-1_1.txt,784,11,5,1,-1,1,100,28
98,graph_784_11_6_1_-1_1.txt,784,11,6,1,-1,1,100,28
99,graph_784_11_7_1_-1_1.txt,784,11,7,1,-1,1,100,28
100,graph_784_11_8_1_-1_1.txt,784,11,8,1,-1,1,100,28
101,graph_784_11_9_1_-1_1.txt,784,11,9,1,-1,1,100,28
102,graph_784_12_0_1_-1_1.txt,784,12,0,1,-1,1,100,28
103,graph_784_12_10_1_-1_1.txt,784,12,10,1,-1,1,100,28
104,graph_784_12_11_1_-1_1.txt,784,12,11,1,-1,1,100,28
105,graph_784_12_12_1_-1_1.txt,784,12,12,1,-1,1,100,28
106,graph_784_12_13_1_-1_1.txt,784,12,13,1,-1,1,100,28
107,graph_784_12_14_1_-1_1.txt,784,12,14,1,-1,1,100,28
108,graph_784_12_15_1_-1_1.txt,784,12,15,1,-1,1,100,28
109,graph_784_12_16_1_-1_1.txt,784,12,16,1,-1,1,100,28
110,graph_784_12_17_1_-1_1.txt,784,12,17,1,-1,1,100,28
111,graph_784_12_18_1_-1_1.txt,784,12,18,1,-1,1,100,28
112,graph_784_12_19_1_-1_1.txt,784,12,19,1,-1,1,100,28
113,graph_784_12_1_1_-1_1.txt,784,12,1,1,-1,1,100,28
114,graph_784_12_20_1_-1_1.txt,784,12,20,1,-1,1,100,28
115,graph_784_12_21_1_-1_1.txt,784,12,21,1,-1,1,100,28
116,graph_784_12_22_1_-1_1.txt,784,12,22,1,-1,1,100,28
117,graph_784_12_23_1_-1_1.txt,784,12,23,1,-1,1,100,28
118,graph_784_12_24_1_-1_1.txt,784,12,24,1,-1,1,100,28
119,graph_784_12_25_1_-1_1.txt,784,12,25,1,-1,1,100,28
120,graph_784_12_26_1_-1_1.txt,784,12,26,1,-1,1,100,28
121,graph_784_12_27_1_-1_1.txt,784,12,27,1,-1,1,100,28
122,graph_784_12_28_1_-1_1.txt,784,12,28,1,-1,1,100,28
123,graph_784_12_29_1_-1_1.txt,784,12,29,1,-1,1,100,28
124,graph_784_12_2_1_-1_1.txt,784,12,2,1,-1,1,100,28
125,graph_784_12_30_1_-1_1.txt,784,12,30,1,-1,1,100,28
126,graph_784_12_31_1_-1_1.txt,784,12,31,1,-1,1,100,28
127,graph_784_12_32_1_-1_1.txt,784,12,32,1,-1,1,100,28
128,graph_784_12_33_1_-1_1.txt,784,12,33,1,-1,1,100,28
129,graph_784_12_34_1_-1_1.txt,784,12,34,1,-1,1,100,28
130,graph_784_12_35_1_-1_1.txt,784,12,35,1,-1,1,100,28
131,graph_784_12_36_1_-1_1.txt,784,12,36,1,-1,1,100,28
132,graph_784_12_37_1_-1_1.txt,784,12,37,1,-1,1,100,28
133,graph_784_12_38_1_-1_1.txt,784,12,38,1,-1,1,100,28
134,graph_784_12_39_1_-1_1.txt,784,12,39,1,-1,1,100,28
135,graph_784_12_3_1_-1_1.txt,784,12,3,1,-1,1,100,28
136,graph_784_12_40_1_-1_1.txt,784,12,40,1,-1,1,100,28
137,graph_784_12_41_1_-1_1.txt,784,12,41,1,-1,1,100,28
138,graph_784_12_42_1_-1_1.txt,784,12,42,1,-1,1,100,28
139,graph_784_12_43_1_-1_1.txt,784,12,43,1,-1,1,100,28
